time	X	Y	Z	RES	Lon	Lat	Alt	Sat	Qal
20:06:55.416360	10006	9936	9999	17286	E28.802186	N60.442257	32.5	09	1
20:06:55.438140	10010	9939	10005	17294	E28.802186	N60.442257	32.5	09	1
20:06:55.459910	10022	9958	10021	17321	E28.802186	N60.442257	32.5	09	1
20:06:55.481620	10028	9967	10011	17324	E28.802186	N60.442257	32.5	09	1
20:06:55.503322	10022	9964	10023	17325	E28.802186	N60.442257	32.5	09	1
20:06:55.525017	10011	9972	10016	17319	E28.802186	N60.442257	32.5	09	1
20:06:55.546746	10025	9972	10029	17335	E28.802186	N60.442257	32.5	09	1
20:06:55.568473	10010	9985	10024	17331	E28.802186	N60.442257	32.5	09	1
20:06:55.590208	10024	9997	10040	17355	E28.802186	N60.442257	32.5	09	1
20:06:55.611893	10010	9979	10035	17334	E28.802186	N60.442257	32.5	09	1
20:06:55.633575	9998	9989	10043	17337	E28.802186	N60.442257	32.5	09	1
20:06:55.655228	9995	9993	10055	17345	E28.802186	N60.442257	32.5	09	1
20:06:55.676923	9978	9991	10046	17329	E28.802186	N60.442257	32.5	09	1
20:06:55.698592	9987	10006	10067	17355	E28.802186	N60.442257	32.5	09	1
20:06:55.720315	10002	10005	10031	17342	E28.802186	N60.442257	32.5	09	1
20:06:55.742061	9987	9992	10039	17330	E28.802186	N60.442257	32.5	09	1
20:06:55.763766	9985	9988	10022	17317	E28.802186	N60.442257	32.5	09	1
20:06:55.785455	9991	9983	10024	17319	E28.802186	N60.442257	32.5	09	1
20:06:55.807169	10004	9986	10027	17330	E28.802186	N60.442257	32.5	09	1
20:06:55.832616	10008	9996	10021	17334	E28.802186	N60.442257	32.5	09	1
20:06:55.856663	10036	9989	10017	17344	E28.802180	N60.442253	32.2	09	1
20:06:55.885518	10042	10001	10022	17358	E28.802180	N60.442253	32.2	09	1
20:06:55.909544	10020	9977	10016	17328	E28.802180	N60.442253	32.2	09	1
20:06:55.931537	10020	9985	10020	17334	E28.802180	N60.442253	32.2	09	1
20:06:55.953527	10024	9982	10013	17331	E28.802180	N60.442253	32.2	09	1
20:06:55.975383	10000	9979	10007	17312	E28.802180	N60.442253	32.2	09	1
20:06:55.997354	9982	9973	10011	17300	E28.802180	N60.442253	32.2	09	1
20:06:56.019115	9992	9990	10042	17334	E28.802180	N60.442253	32.2	09	1
20:06:56.040866	9998	10005	10047	17349	E28.802180	N60.442253	32.2	09	1
20:06:56.062618	9980	9993	10059	17339	E28.802180	N60.442253	32.2	09	1
20:06:56.084390	9983	10002	10052	17341	E28.802180	N60.442253	32.2	09	1
20:06:56.106108	9970	10003	10061	17340	E28.802180	N60.442253	32.2	09	1
20:06:56.128053	9952	9996	10044	17316	E28.802180	N60.442253	32.2	09	1
20:06:56.149775	9975	10014	10061	17349	E28.802180	N60.442253	32.2	09	1
20:06:56.171566	9970	10015	10062	17347	E28.802180	N60.442253	32.2	09	1
20:06:56.193346	9968	10006	10047	17332	E28.802180	N60.442253	32.2	09	1
20:06:56.215029	9954	10005	10060	17331	E28.802180	N60.442253	32.2	09	1
20:06:56.236831	9961	9998	10047	17324	E28.802180	N60.442253	32.2	09	1
20:06:56.258643	9959	9996	10045	17320	E28.802180	N60.442253	32.2	09	1
20:06:56.280436	9943	9998	10019	17297	E28.802180	N60.442253	32.2	09	1
20:06:56.302131	9931	9984	10008	17276	E28.802180	N60.442253	32.2	09	1
20:06:56.323854	9953	10005	10018	17306	E28.802180	N60.442253	32.2	09	1
20:06:56.345560	9956	10016	10022	17317	E28.802180	N60.442253	32.2	09	1
20:06:56.367328	9953	10009	10008	17303	E28.802180	N60.442253	32.2	09	1
20:06:56.389190	9961	10022	10032	17329	E28.802180	N60.442253	32.2	09	1
20:06:56.410894	9955	10009	10034	17319	E28.802180	N60.442253	32.2	09	1
20:06:56.432609	9971	10030	10045	17347	E28.802180	N60.442253	32.2	09	1
20:06:56.454341	9949	10015	10044	17325	E28.802180	N60.442253	32.2	09	1
20:06:56.476088	9947	10004	10045	17318	E28.802180	N60.442253	32.2	09	1
20:06:56.498136	9936	10000	10054	17314	E28.802180	N60.442253	32.2	09	1
20:06:56.519835	9942	10016	10070	17336	E28.802180	N60.442253	32.2	09	1
20:06:56.541639	9932	9982	10031	17288	E28.802180	N60.442253	32.2	09	1
20:06:56.564044	9919	9994	10044	17295	E28.802180	N60.442253	32.2	09	1
20:06:56.586701	9936	9995	10030	17298	E28.802180	N60.442253	32.2	09	1
20:06:56.607801	9925	9974	10019	17273	E28.802180	N60.442253	32.2	09	1
20:06:56.629561	9939	9992	10002	17281	E28.802180	N60.442253	32.2	09	1
20:06:56.651276	9938	9990	10009	17284	E28.802180	N60.442253	32.2	09	1
20:06:56.672966	9952	9984	9985	17274	E28.802180	N60.442253	32.2	09	1
20:06:56.694885	9927	9960	9984	17246	E28.802180	N60.442253	32.2	09	1
20:06:56.716812	9925	9976	9986	17255	E28.802180	N60.442253	32.2	09	1
20:06:56.738547	9923	9989	9987	17262	E28.802180	N60.442253	32.2	09	1
20:06:56.760434	9915	9979	9984	17250	E28.802180	N60.442253	32.2	09	1
20:06:56.782125	9899	9973	9970	17229	E28.802180	N60.442253	32.2	09	1
20:06:56.803760	9914	9974	10000	17255	E28.802180	N60.442253	32.2	09	1
20:06:56.832187	9919	9967	10005	17257	E28.802180	N60.442253	32.2	09	1
20:06:56.858036	9928	9973	10021	17275	E28.802170	N60.442258	32.7	09	1
20:06:56.879764	9933	9977	10052	17298	E28.802170	N60.442258	32.7	09	1
20:06:56.901416	9947	9987	10091	17335	E28.802170	N60.442258	32.7	09	1
20:06:56.923170	9942	9974	10087	17322	E28.802170	N60.442258	32.7	09	1
20:06:56.944929	9943	9977	10114	17340	E28.802170	N60.442258	32.7	09	1
20:06:56.966604	9943	9985	10121	17349	E28.802170	N60.442258	32.7	09	1
20:06:56.988360	9948	9993	10157	17377	E28.802170	N60.442258	32.7	09	1
20:06:57.010113	9968	10006	10175	17407	E28.802170	N60.442258	32.7	09	1
20:06:57.031802	9975	10015	10188	17424	E28.802170	N60.442258	32.7	09	1
20:06:57.053512	9989	10009	10182	17425	E28.802170	N60.442258	32.7	09	1
20:06:57.075250	9993	10011	10179	17426	E28.802170	N60.442258	32.7	09	1
20:06:57.097028	9988	9987	10177	17408	E28.802170	N60.442258	32.7	09	1
20:06:57.118812	9979	9985	10176	17402	E28.802170	N60.442258	32.7	09	1
20:06:57.140525	9988	9994	10207	17430	E28.802170	N60.442258	32.7	09	1
20:06:57.162266	9985	9979	10187	17408	E28.802170	N60.442258	32.7	09	1
20:06:57.184040	9989	9986	10201	17422	E28.802170	N60.442258	32.7	09	1
20:06:57.205763	9985	9978	10190	17409	E28.802170	N60.442258	32.7	09	1
20:06:57.227291	9977	9975	10181	17398	E28.802170	N60.442258	32.7	09	1
20:06:57.249021	9975	9974	10187	17399	E28.802170	N60.442258	32.7	09	1
20:06:57.271025	9991	9988	10199	17424	E28.802170	N60.442258	32.7	09	1
20:06:57.292932	9961	9975	10204	17402	E28.802170	N60.442258	32.7	09	1
20:06:57.314713	9971	9992	10195	17412	E28.802170	N60.442258	32.7	09	1
20:06:57.336798	9971	9993	10201	17416	E28.802170	N60.442258	32.7	09	1
20:06:57.358572	9973	10006	10205	17427	E28.802170	N60.442258	32.7	09	1
20:06:57.380349	9974	10011	10220	17439	E28.802170	N60.442258	32.7	09	1
20:06:57.402114	9968	10004	10217	17430	E28.802170	N60.442258	32.7	09	1
20:06:57.423855	9988	10012	10223	17450	E28.802170	N60.442258	32.7	09	1
20:06:57.445655	9966	10021	10225	17443	E28.802170	N60.442258	32.7	09	1
20:06:57.467357	9961	10014	10198	17421	E28.802170	N60.442258	32.7	09	1
20:06:57.489129	9978	10027	10210	17445	E28.802170	N60.442258	32.7	09	1
20:06:57.510822	9950	10005	10198	17409	E28.802170	N60.442258	32.7	09	1
20:06:57.532494	9949	9990	10205	17404	E28.802170	N60.442258	32.7	09	1
20:06:57.554222	9925	9984	10221	17396	E28.802170	N60.442258	32.7	09	1
20:06:57.575946	9936	9991	10252	17425	E28.802170	N60.442258	32.7	09	1
20:06:57.597702	9942	10000	10259	17438	E28.802170	N60.442258	32.7	09	1
20:06:57.619435	9980	10033	10289	17496	E28.802170	N60.442258	32.7	09	1
20:06:57.641163	9991	10033	10301	17509	E28.802170	N60.442258	32.7	09	1
20:06:57.662881	9975	10013	10289	17482	E28.802170	N60.442258	32.7	09	1
20:06:57.684773	9981	10019	10296	17493	E28.802170	N60.442258	32.7	09	1
20:06:57.707501	10007	10018	10308	17514	E28.802170	N60.442258	32.7	09	1
20:06:57.729394	10018	10026	10347	17548	E28.802170	N60.442258	32.7	09	1
20:06:57.750846	9995	10010	10337	17520	E28.802170	N60.442258	32.7	09	1
20:06:57.772364	9989	10005	10355	17524	E28.802170	N60.442258	32.7	09	1
20:06:57.793788	9996	10017	10372	17545	E28.802170	N60.442258	32.7	09	1
20:06:57.816063	10002	10003	10381	17546	E28.802170	N60.442258	32.7	09	1
20:06:57.846269	9970	9997	10384	17526	E28.802161	N60.442267	33.0	08	1
20:06:57.871305	9957	9996	10389	17521	E28.802161	N60.442267	33.0	08	1
20:06:57.893656	9965	9994	10396	17528	E28.802161	N60.442267	33.0	08	1
20:06:57.919942	9972	9985	10345	17497	E28.802161	N60.442267	33.0	08	1
20:06:57.941952	9992	9984	10354	17513	E28.802161	N60.442267	33.0	08	1
20:06:57.963756	9992	9992	10364	17524	E28.802161	N60.442267	33.0	08	1
20:06:57.985913	9991	9973	10336	17496	E28.802161	N60.442267	33.0	08	1
20:06:58.007745	10001	9984	10353	17518	E28.802161	N60.442267	33.0	08	1
20:06:58.029507	9981	9987	10340	17500	E28.802161	N60.442267	33.0	08	1
20:06:58.051288	9986	9984	10342	17503	E28.802161	N60.442267	33.0	08	1
20:06:58.073090	9989	10002	10351	17520	E28.802161	N60.442267	33.0	08	1
20:06:58.095186	9977	9980	10337	17492	E28.802161	N60.442267	33.0	08	1
20:06:58.117281	9964	9982	10351	17494	E28.802161	N60.442267	33.0	08	1
20:06:58.139122	9959	9982	10359	17496	E28.802161	N60.442267	33.0	08	1
20:06:58.161003	9948	9984	10370	17497	E28.802161	N60.442267	33.0	08	1
20:06:58.182825	9959	10013	10386	17530	E28.802161	N60.442267	33.0	08	1
20:06:58.204576	9950	10006	10393	17525	E28.802161	N60.442267	33.0	08	1
20:06:58.226329	9957	10012	10388	17529	E28.802161	N60.442267	33.0	08	1
20:06:58.248011	9953	10017	10415	17546	E28.802161	N60.442267	33.0	08	1
20:06:58.269725	9953	9997	10384	17516	E28.802161	N60.442267	33.0	08	1
20:06:58.291514	9949	9982	10387	17507	E28.802161	N60.442267	33.0	08	1
20:06:58.313238	9956	9986	10379	17509	E28.802161	N60.442267	33.0	08	1
20:06:58.334981	9957	9979	10371	17500	E28.802161	N60.442267	33.0	08	1
20:06:58.356728	9962	9987	10382	17514	E28.802161	N60.442267	33.0	08	1
20:06:58.378478	9972	9979	10370	17508	E28.802161	N60.442267	33.0	08	1
20:06:58.400295	9976	9987	10379	17520	E28.802161	N60.442267	33.0	08	1
20:06:58.421543	9992	9995	10375	17532	E28.802161	N60.442267	33.0	08	1
20:06:58.443280	9995	10002	10373	17536	E28.802161	N60.442267	33.0	08	1
20:06:58.464974	9990	9996	10370	17528	E28.802161	N60.442267	33.0	08	1
20:06:58.486669	9959	9965	10376	17496	E28.802161	N60.442267	33.0	08	1
20:06:58.507920	9952	9967	10373	17492	E28.802161	N60.442267	33.0	08	1
