time	X	Y	Z	RES	Lon	Lat	Alt	Sat	Qal
20:28:39.070286	9323	9663	9856	16656	E28.801375	N60.442554	51.3	08	1
20:28:39.093064	9273	9690	9780	16599	E28.801375	N60.442554	51.3	08	1
20:28:39.115661	9272	9680	9733	16565	E28.801375	N60.442554	51.3	08	1
20:28:39.137980	9336	9652	9801	16624	E28.801375	N60.442554	51.3	08	1
20:28:39.160841	9235	9658	9821	16583	E28.801375	N60.442554	51.3	08	1
20:28:39.183170	9169	9664	9830	16555	E28.801375	N60.442554	51.3	08	1
20:28:39.205998	9250	9687	9812	16603	E28.801375	N60.442554	51.3	08	1
20:28:39.228720	9310	9673	9860	16657	E28.801375	N60.442554	51.3	08	1
20:28:39.250663	9256	9685	9829	16615	E28.801375	N60.442554	51.3	08	1
20:28:39.272752	9238	9697	9767	16576	E28.801375	N60.442554	51.3	08	1
20:28:39.295395	9352	9698	9811	16666	E28.801375	N60.442554	51.3	08	1
20:28:39.317375	9345	9698	9766	16635	E28.801375	N60.442554	51.3	08	1
20:28:39.339532	9230	9740	9740	16580	E28.801375	N60.442554	51.3	08	1
20:28:39.361373	9206	9763	9659	16533	E28.801375	N60.442554	51.3	08	1
20:28:39.383267	9251	9798	9653	16575	E28.801375	N60.442554	51.3	08	1
20:28:39.405103	9276	9796	9694	16612	E28.801375	N60.442554	51.3	08	1
20:28:39.426917	9322	9813	9756	16684	E28.801375	N60.442554	51.3	08	1
20:28:39.448684	9309	9831	9808	16718	E28.801375	N60.442554	51.3	08	1
20:28:39.470603	9263	9861	9723	16660	E28.801375	N60.442554	51.3	08	1
20:28:39.492461	9192	9871	9682	16603	E28.801375	N60.442554	51.3	08	1
20:28:39.514279	9233	9901	9652	16626	E28.801375	N60.442554	51.3	08	1
20:28:39.535643	9171	9869	9639	16565	E28.801375	N60.442554	51.3	08	1
20:28:39.557455	9150	9892	9592	16540	E28.801375	N60.442554	51.3	08	1
20:28:39.578849	9194	9897	9539	16537	E28.801375	N60.442554	51.3	08	1
20:28:39.600689	9206	9912	9607	16591	E28.801375	N60.442554	51.3	08	1
20:28:39.622471	9232	9933	9656	16647	E28.801375	N60.442554	51.3	08	1
