time	X	Y	Z	RES	Lon	Lat	Alt	Sat	Qal
19:45:52.797639	9908	10175	9768	17236	E28.801187	N60.442597	37.5	06	1
19:45:52.822078	9893	10192	9735	17219	E28.801187	N60.442597	37.5	06	1
19:45:52.854956	9904	10208	9802	17273	E28.801189	N60.442598	37.5	07	1
19:45:52.881208	9915	10182	9740	17229	E28.801189	N60.442598	37.5	07	1
19:45:52.911030	9890	10194	9770	17238	E28.801189	N60.442598	37.5	07	1
19:45:52.932805	9910	10191	9753	17239	E28.801189	N60.442598	37.5	07	1
19:45:52.954037	9896	10165	9721	17197	E28.801189	N60.442598	37.5	07	1
19:45:52.975106	9868	10166	9720	17181	E28.801189	N60.442598	37.5	07	1
19:45:52.996161	9863	10191	9759	17215	E28.801189	N60.442598	37.5	07	1
19:45:53.017188	9849	10176	9712	17171	E28.801189	N60.442598	37.5	07	1
19:45:53.038239	9826	10168	9741	17170	E28.801189	N60.442598	37.5	07	1
19:45:53.059316	9826	10180	9799	17210	E28.801189	N60.442598	37.5	07	1
19:45:53.080378	9817	10158	9772	17177	E28.801189	N60.442598	37.5	07	1
19:45:53.101429	9754	10149	9774	17136	E28.801189	N60.442598	37.5	07	1
19:45:53.122481	9712	10141	9781	17112	E28.801189	N60.442598	37.5	07	1
19:45:53.143525	9699	10159	9764	17105	E28.801189	N60.442598	37.5	07	1
19:45:53.164539	9656	10135	9746	17056	E28.801189	N60.442598	37.5	07	1
19:45:53.185572	9667	10122	9724	17042	E28.801189	N60.442598	37.5	07	1
19:45:53.206611	9666	10147	9703	17045	E28.801189	N60.442598	37.5	07	1
19:45:53.227660	9589	10114	9671	16963	E28.801189	N60.442598	37.5	07	1
19:45:53.248701	9563	10118	9744	16993	E28.801189	N60.442598	37.5	07	1
19:45:53.269806	9575	10118	9759	17008	E28.801189	N60.442598	37.5	07	1
19:45:53.290854	9556	10120	9776	17008	E28.801189	N60.442598	37.5	07	1
19:45:53.311917	9518	10137	9771	16994	E28.801189	N60.442598	37.5	07	1
19:45:53.332962	9464	10135	9819	16991	E28.801189	N60.442598	37.5	07	1
19:45:53.354002	9463	10113	9718	16919	E28.801189	N60.442598	37.5	07	1
19:45:53.375039	9457	10103	9750	16928	E28.801189	N60.442598	37.5	07	1
19:45:53.396107	9509	10114	9790	16987	E28.801189	N60.442598	37.5	07	1
19:45:53.417161	9526	10113	9750	16972	E28.801189	N60.442598	37.5	07	1
19:45:53.438214	9505	10101	9713	16932	E28.801189	N60.442598	37.5	07	1
19:45:53.459255	9435	10088	9726	16893	E28.801189	N60.442598	37.5	07	1
19:45:53.480297	9402	10073	9803	16910	E28.801189	N60.442598	37.5	07	1
19:45:53.501326	9438	10056	9808	16923	E28.801189	N60.442598	37.5	07	1
19:45:53.522365	9412	10043	9742	16862	E28.801189	N60.442598	37.5	07	1
19:45:53.543412	9348	10040	9796	16856	E28.801189	N60.442598	37.5	07	1
19:45:53.564472	9353	10069	9848	16906	E28.801189	N60.442598	37.5	07	1
19:45:53.585513	9365	10058	9830	16896	E28.801189	N60.442598	37.5	07	1
19:45:53.606548	9348	10045	9816	16871	E28.801189	N60.442598	37.5	07	1
19:45:53.627576	9313	10024	9798	16828	E28.801189	N60.442598	37.5	07	1
19:45:53.649150	9324	10026	9814	16845	E28.801189	N60.442598	37.5	07	1
19:45:53.670856	9303	10036	9742	16798	E28.801189	N60.442598	37.5	07	1
19:45:53.692574	9284	10053	9758	16806	E28.801189	N60.442598	37.5	07	1
19:45:53.714304	9316	10038	9733	16801	E28.801189	N60.442598	37.5	07	1
19:45:53.735995	9272	10027	9734	16770	E28.801189	N60.442598	37.5	07	1
19:45:53.757702	9258	10017	9767	16776	E28.801189	N60.442598	37.5	07	1
