time	X	Y	Z	RES	Lon	Lat	Alt	Sat	Qal
20:34:42.036122	9939	10260	9847	17349	E28.801268	N60.442680	46.8	10	1
20:34:42.057408	9937	10269	9861	17361	E28.801268	N60.442680	46.8	10	1
20:34:42.078522	9943	10282	9886	17387	E28.801268	N60.442680	46.8	10	1
20:34:42.099791	9969	10280	9879	17396	E28.801268	N60.442680	46.8	10	1
20:34:42.120923	9919	10276	9898	17376	E28.801268	N60.442680	46.8	10	1
20:34:42.142001	9913	10252	9858	17336	E28.801268	N60.442680	46.8	10	1
20:34:42.163107	9908	10258	9875	17346	E28.801268	N60.442680	46.8	10	1
20:34:42.184185	9899	10249	9844	17318	E28.801268	N60.442680	46.8	10	1
20:34:42.205293	9915	10258	9911	17371	E28.801268	N60.442680	46.8	10	1
20:34:42.226490	9960	10267	9889	17389	E28.801268	N60.442680	46.8	10	1
20:34:42.247604	9960	10245	9872	17367	E28.801268	N60.442680	46.8	10	1
20:34:42.268733	9959	10250	9842	17352	E28.801268	N60.442680	46.8	10	1
20:34:42.289868	9910	10265	9866	17346	E28.801268	N60.442680	46.8	10	1
20:34:42.310965	9935	10286	9918	17403	E28.801268	N60.442680	46.8	10	1
20:34:42.332028	9920	10260	9924	17382	E28.801268	N60.442680	46.8	10	1
20:34:42.353136	9888	10260	9898	17349	E28.801268	N60.442680	46.8	10	1
20:34:42.374189	9919	10267	9883	17362	E28.801268	N60.442680	46.8	10	1
20:34:42.395361	9977	10277	9791	17349	E28.801268	N60.442680	46.8	10	1
20:34:42.416473	9942	10255	9705	17268	E28.801268	N60.442680	46.8	10	1
20:34:42.437584	9946	10261	9700	17271	E28.801268	N60.442680	46.8	10	1
20:34:42.458685	9943	10254	9731	17282	E28.801268	N60.442680	46.8	10	1
20:34:42.479779	9951	10253	9708	17274	E28.801268	N60.442680	46.8	10	1
20:34:42.500853	9905	10251	9748	17268	E28.801268	N60.442680	46.8	10	1
20:34:42.521926	9870	10258	9757	17258	E28.801268	N60.442680	46.8	10	1
20:34:42.542998	9893	10263	9840	17321	E28.801268	N60.442680	46.8	10	1
20:34:42.564639	9897	10254	9812	17302	E28.801268	N60.442680	46.8	10	1
20:34:42.586496	9858	10257	9806	17278	E28.801268	N60.442680	46.8	10	1
20:34:42.608352	9900	10284	9846	17341	E28.801268	N60.442680	46.8	10	1
20:34:42.630176	9922	10289	9818	17340	E28.801268	N60.442680	46.8	10	1
20:34:42.652041	9975	10301	9826	17382	E28.801268	N60.442680	46.8	10	1
20:34:42.673813	9966	10284	9786	17344	E28.801268	N60.442680	46.8	10	1
20:34:42.695761	9904	10266	9766	17287	E28.801268	N60.442680	46.8	10	1
20:34:42.717533	9966	10299	9754	17335	E28.801268	N60.442680	46.8	10	1
20:34:42.739615	10006	10317	9832	17413	E28.801268	N60.442680	46.8	10	1
20:34:42.762161	10057	10347	9883	17489	E28.801268	N60.442680	46.8	10	1
20:34:42.785855	9981	10305	9897	17428	E28.801268	N60.442680	46.8	10	1
20:34:42.811968	9955	10313	9855	17394	E28.801296	N60.442664	46.6	10	1
20:34:42.838498	9972	10321	9910	17440	E28.801296	N60.442664	46.6	10	1
20:34:42.862590	9897	10303	9794	17321	E28.801296	N60.442664	46.6	10	1
20:34:42.883883	9967	10293	9813	17366	E28.801296	N60.442664	46.6	10	1
20:34:42.904995	10004	10289	9799	17377	E28.801296	N60.442664	46.6	10	1
20:34:42.926112	10021	10311	9798	17399	E28.801296	N60.442664	46.6	10	1
20:34:42.947227	9979	10310	9864	17411	E28.801296	N60.442664	46.6	10	1
20:34:42.968369	9995	10307	9867	17421	E28.801296	N60.442664	46.6	10	1
20:34:42.989542	9971	10297	9844	17388	E28.801296	N60.442664	46.6	10	1
20:34:43.010721	9915	10290	9854	17357	E28.801296	N60.442664	46.6	10	1
20:34:43.031842	10015	10297	9875	17431	E28.801296	N60.442664	46.6	10	1
20:34:43.052957	9993	10288	9848	17397	E28.801296	N60.442664	46.6	10	1
20:34:43.074049	9987	10304	9859	17410	E28.801296	N60.442664	46.6	10	1
20:34:43.095189	10027	10311	9878	17447	E28.801296	N60.442664	46.6	10	1
20:34:43.116354	10011	10338	9891	17462	E28.801296	N60.442664	46.6	10	1
20:34:43.137440	9958	10302	9811	17365	E28.801296	N60.442664	46.6	10	1
20:34:43.158534	9943	10296	9856	17378	E28.801296	N60.442664	46.6	10	1
20:34:43.179655	9968	10292	9792	17354	E28.801296	N60.442664	46.6	10	1
20:34:43.200784	9999	10300	9773	17366	E28.801296	N60.442664	46.6	10	1
20:34:43.221968	9988	10305	9822	17390	E28.801296	N60.442664	46.6	10	1
20:34:43.243089	9951	10324	9829	17384	E28.801296	N60.442664	46.6	10	1
20:34:43.264192	9966	10296	9773	17344	E28.801296	N60.442664	46.6	10	1
20:34:43.285291	9920	10299	9786	17327	E28.801296	N60.442664	46.6	10	1
20:34:43.306355	9999	10319	9780	17381	E28.801296	N60.442664	46.6	10	1
20:34:43.327435	10014	10311	9809	17401	E28.801296	N60.442664	46.6	10	1
20:34:43.348540	9932	10292	9785	17329	E28.801296	N60.442664	46.6	10	1
20:34:43.369631	9955	10271	9807	17342	E28.801296	N60.442664	46.6	10	1
20:34:43.390747	9922	10270	9764	17298	E28.801296	N60.442664	46.6	10	1
20:34:43.411850	9874	10250	9792	17275	E28.801296	N60.442664	46.6	10	1
20:34:43.432955	9922	10252	9802	17309	E28.801296	N60.442664	46.6	10	1
20:34:43.454053	9972	10258	9783	17331	E28.801296	N60.442664	46.6	10	1
20:34:43.475135	9938	10251	9821	17329	E28.801296	N60.442664	46.6	10	1
20:34:43.496237	10009	10273	9848	17398	E28.801296	N60.442664	46.6	10	1
20:34:43.517314	9996	10294	9796	17373	E28.801296	N60.442664	46.6	10	1
20:34:43.538458	9915	10295	9787	17322	E28.801296	N60.442664	46.6	10	1
20:34:43.559580	9899	10287	9837	17337	E28.801296	N60.442664	46.6	10	1
20:34:43.581261	9897	10288	9805	17318	E28.801296	N60.442664	46.6	10	1
