time	X	Y	Z	RES	Lon	Lat	Alt	Sat	Qal
21:19:21.073337	9842	10130	9894	17244	E28.800466	N60.436785	51.1	10	1
21:19:21.094754	9837	10124	9859	17218	E28.800466	N60.436785	51.1	10	1
21:19:21.116057	9854	10155	9845	17238	E28.800466	N60.436785	51.1	10	1
21:19:21.137190	9841	10154	9807	17208	E28.800466	N60.436785	51.1	10	1
21:19:21.158249	9806	10153	9814	17191	E28.800466	N60.436785	51.1	10	1
21:19:21.179289	9778	10158	9847	17197	E28.800466	N60.436785	51.1	10	1
21:19:21.200371	9792	10139	9777	17154	E28.800466	N60.436785	51.1	10	1
21:19:21.222014	9772	10119	9739	17109	E28.800466	N60.436785	51.1	10	1
21:19:21.243760	9790	10152	9764	17153	E28.800466	N60.436785	51.1	10	1
21:19:21.265535	9809	10155	9761	17164	E28.800466	N60.436785	51.1	10	1
21:19:21.287298	9765	10132	9784	17138	E28.800466	N60.436785	51.1	10	1
21:19:21.309063	9763	10136	9797	17147	E28.800466	N60.436785	51.1	10	1
21:19:21.330868	9784	10150	9817	17179	E28.800466	N60.436785	51.1	10	1
21:19:21.352618	9775	10156	9778	17155	E28.800466	N60.436785	51.1	10	1
21:19:21.374607	9744	10145	9749	17114	E28.800466	N60.436785	51.1	10	1
21:19:21.396379	9738	10161	9747	17119	E28.800466	N60.436785	51.1	10	1
21:19:21.418191	9750	10154	9747	17122	E28.800466	N60.436785	51.1	10	1
21:19:21.440021	9684	10135	9726	17061	E28.800466	N60.436785	51.1	10	1
21:19:21.463907	9673	10118	9741	17053	E28.800466	N60.436785	51.1	10	1
21:19:21.507774	9670	10157	9770	17091	E28.800456	N60.436779	50.9	10	1
21:19:21.544799	9667	10153	9775	17090	E28.800456	N60.436779	50.9	10	1
21:19:21.566643	9674	10171	9826	17134	E28.800456	N60.436779	50.9	10	1
21:19:21.588382	9669	10169	9764	17094	E28.800456	N60.436779	50.9	10	1
21:19:21.610111	9721	10206	9801	17167	E28.800456	N60.436779	50.9	10	1
21:19:21.631871	9697	10201	9779	17138	E28.800456	N60.436779	50.9	10	1
21:19:21.653636	9687	10178	9721	17085	E28.800456	N60.436779	50.9	10	1
21:19:21.675415	9637	10146	9723	17039	E28.800456	N60.436779	50.9	10	1
21:19:21.697100	9625	10150	9710	17027	E28.800456	N60.436779	50.9	10	1
21:19:21.718413	9637	10163	9769	17076	E28.800456	N60.436779	50.9	10	1
21:19:21.740129	9649	10175	9825	17122	E28.800456	N60.436779	50.9	10	1
21:19:21.761897	9608	10147	9796	17065	E28.800456	N60.436779	50.9	10	1
21:19:21.783651	9624	10139	9708	17019	E28.800456	N60.436779	50.9	10	1
21:19:21.805458	9633	10167	9689	17030	E28.800456	N60.436779	50.9	10	1
21:19:21.827192	9630	10187	9691	17041	E28.800456	N60.436779	50.9	10	1
21:19:21.848931	9626	10179	9701	17040	E28.800456	N60.436779	50.9	10	1
21:19:21.870780	9613	10184	9725	17049	E28.800456	N60.436779	50.9	10	1
21:19:21.892113	9617	10205	9747	17077	E28.800456	N60.436779	50.9	10	1
21:19:21.913958	9626	10201	9743	17077	E28.800456	N60.436779	50.9	10	1
21:19:21.934793	9648	10213	9745	17098	E28.800456	N60.436779	50.9	10	1
21:19:21.956927	9619	10188	9684	17032	E28.800456	N60.436779	50.9	10	1
21:19:21.978412	9597	10183	9713	17033	E28.800456	N60.436779	50.9	10	1
21:19:22.000231	9593	10183	9729	17040	E28.800456	N60.436779	50.9	10	1
21:19:22.022068	9591	10176	9776	17061	E28.800456	N60.436779	50.9	10	1
21:19:22.043814	9579	10174	9788	17060	E28.800456	N60.436779	50.9	10	1
21:19:22.065535	9625	10207	9811	17119	E28.800456	N60.436779	50.9	10	1
21:19:22.087240	9622	10203	9816	17118	E28.800456	N60.436779	50.9	10	1
21:19:22.108939	9593	10175	9800	17076	E28.800456	N60.436779	50.9	10	1
21:19:22.130776	9617	10192	9847	17126	E28.800456	N60.436779	50.9	10	1
21:19:22.152534	9618	10195	9773	17086	E28.800456	N60.436779	50.9	10	1
21:19:22.174518	9639	10213	9764	17104	E28.800456	N60.436779	50.9	10	1
21:19:22.195769	9634	10212	9750	17092	E28.800456	N60.436779	50.9	10	1
21:19:22.217552	9607	10177	9730	17045	E28.800456	N60.436779	50.9	10	1
21:19:22.239348	9609	10182	9774	17074	E28.800456	N60.436779	50.9	10	1
21:19:22.261128	9609	10211	9754	17080	E28.800456	N60.436779	50.9	10	1
21:19:22.282949	9595	10191	9740	17052	E28.800456	N60.436779	50.9	10	1
21:19:22.304902	9579	10188	9750	17047	E28.800456	N60.436779	50.9	10	1
21:19:22.327031	9601	10186	9761	17064	E28.800456	N60.436779	50.9	10	1
21:19:22.348348	9555	10130	9715	16979	E28.800456	N60.436779	50.9	10	1
21:19:22.370385	9547	10123	9699	16961	E28.800456	N60.436779	50.9	10	1
21:19:22.391785	9545	10121	9738	16981	E28.800456	N60.436779	50.9	10	1
