time	X	Y	Z	RES	Lon	Lat	Alt	Sat	Qal
20:56:50.859015	11008	10308	10113	18157	E28.801234	N60.437785	50.4	08	1
20:56:50.880378	11002	10282	10097	18130	E28.801234	N60.437785	50.4	08	1
20:56:50.902054	10995	10286	10062	18108	E28.801234	N60.437785	50.4	08	1
20:56:50.923722	11007	10303	10081	18136	E28.801234	N60.437785	50.4	08	1
20:56:50.945381	11007	10320	10055	18131	E28.801234	N60.437785	50.4	08	1
20:56:50.967067	11023	10350	10089	18177	E28.801234	N60.437785	50.4	08	1
20:56:50.988787	11027	10311	10054	18138	E28.801234	N60.437785	50.4	08	1
20:56:51.010483	11050	10313	10018	18133	E28.801234	N60.437785	50.4	08	1
20:56:51.032184	10997	10251	10003	18057	E28.801234	N60.437785	50.4	08	1
20:56:51.053819	10980	10289	10024	18080	E28.801234	N60.437785	50.4	08	1
20:56:51.075525	10978	10326	10037	18107	E28.801234	N60.437785	50.4	08	1
20:56:51.097240	10942	10322	10035	18082	E28.801234	N60.437785	50.4	08	1
20:56:51.118955	10947	10336	10074	18115	E28.801234	N60.437785	50.4	08	1
20:56:51.140674	10980	10357	10078	18149	E28.801234	N60.437785	50.4	08	1
20:56:51.162354	10953	10354	10061	18121	E28.801234	N60.437785	50.4	08	1
20:56:51.184072	10963	10368	10105	18160	E28.801234	N60.437785	50.4	08	1
20:56:51.205794	10957	10306	10108	18122	E28.801234	N60.437785	50.4	08	1
20:56:51.227605	10976	10332	10125	18158	E28.801234	N60.437785	50.4	08	1
20:56:51.249436	10968	10368	10127	18175	E28.801234	N60.437785	50.4	08	1
20:56:51.271153	10943	10381	10147	18178	E28.801234	N60.437785	50.4	08	1
20:56:51.292921	10944	10355	10140	18160	E28.801234	N60.437785	50.4	08	1
20:56:51.314638	10947	10316	10144	18142	E28.801234	N60.437785	50.4	08	1
20:56:51.336399	10988	10328	10123	18162	E28.801234	N60.437785	50.4	08	1
20:56:51.358274	10948	10279	10134	18116	E28.801234	N60.437785	50.4	08	1
20:56:51.380017	10953	10286	10072	18089	E28.801234	N60.437785	50.4	08	1
20:56:51.402142	10960	10318	10091	18122	E28.801234	N60.437785	50.4	08	1
20:56:51.423963	10969	10334	10114	18149	E28.801234	N60.437785	50.4	08	1
20:56:51.445667	10963	10346	10137	18165	E28.801234	N60.437785	50.4	08	1
20:56:51.467347	10949	10299	10127	18124	E28.801234	N60.437785	50.4	08	1
20:56:51.489065	10954	10291	10127	18123	E28.801234	N60.437785	50.4	08	1
20:56:51.510828	10961	10322	10142	18153	E28.801234	N60.437785	50.4	08	1
20:56:51.540033	10933	10338	10128	18137	E28.801234	N60.437785	50.4	08	1
20:56:51.585293	10963	10289	10131	18129	E28.801240	N60.437798	50.0	08	1
20:56:51.619665	10943	10345	10099	18131	E28.801240	N60.437798	50.0	08	1
20:56:51.641546	10945	10368	10104	18148	E28.801240	N60.437798	50.0	08	1
